,image paths,A,B,D,Head size QC,IED,IED QC,eye openness,eye openness QC,mouth closed,mouth closed QC,left crop QC,right crop QC,up crop QC,down crop QC
0,/home/teakoo/Landmark-Agnostic-FIQA/img_test/neutral_front/026_03.jpg,1350,1350,0.2791334818431337,6.0,198.3053201505194,100,0.09553374425233835,100,0.00839178403448358,96,100,100,100,100
1,/home/teakoo/Landmark-Agnostic-FIQA/img_test/neutral_front/121_03.jpg,1350,1350,0.28824334331551604,8.0,193.01036241611484,100,0.06172979739870292,98,0.007268619560876833,96,100,100,100,100
2,/home/teakoo/Landmark-Agnostic-FIQA/img_test/neutral_front/070_03.jpg,1350,1350,0.27559139551871104,6.0,185.02432272541898,100,0.056508231048893263,97,0.09676160830956043,85,100,100,100,100
3,/home/teakoo/Landmark-Agnostic-FIQA/img_test/neutral_front/102_03.jpg,1350,1350,0.28371917567326815,7.0,194.0412327316027,100,0.07832471023323923,100,0.009413458629393434,96,100,100,100,100
4,/home/teakoo/Landmark-Agnostic-FIQA/img_test/neutral_front/033_03.jpg,1350,1350,0.2748786987741693,6.0,202.00247523235947,100,0.062038755893818805,99,0.006025736651789961,96,100,100,100,100
5,/home/teakoo/Landmark-Agnostic-FIQA/img_test/neutral_front/008_03.jpg,1350,1350,0.28117136913331303,7.0,216.6679487141557,100,0.0765814332958939,100,0.010537925579322125,96,100,100,100,100
6,/home/teakoo/Landmark-Agnostic-FIQA/img_test/neutral_front/003_03.jpg,1350,1350,0.2740750750732471,6.0,200.0099997500125,100,0.075723646278862,100,0.002702692831673133,96,100,100,100,100
7,/home/teakoo/Landmark-Agnostic-FIQA/img_test/neutral_front/027_03.jpg,1350,1350,0.25926878289386235,4.0,185.04323819042943,100,0.08856817510638518,100,0.008571113719972758,96,100,100,100,100
8,/home/teakoo/Landmark-Agnostic-FIQA/img_test/neutral_front/101_03.jpg,1350,1350,0.28668197872781903,7.0,203.15757431117353,100,0.05193456766955833,96,0.009316172346855478,96,100,100,100,100
9,/home/teakoo/Landmark-Agnostic-FIQA/img_test/neutral_front/014_03.jpg,1350,1350,0.2565060156737412,4.0,183.13383084509536,100,0.08085869131085643,100,0.0028878104039591584,96,100,100,100,100
10,/home/teakoo/Landmark-Agnostic-FIQA/img_test/neutral_front/038_03.jpg,1350,1350,0.32922238680345717,16.0,211.05923339195564,100,0.06528793284085091,99,0.014230064481121877,96,100,100,100,100
11,/home/teakoo/Landmark-Agnostic-FIQA/img_test/neutral_front/002_03.jpg,1350,1350,0.2940778057417866,8.0,229.0087334579186,100,0.10591198620906603,100,0.015113158346763729,96,100,100,100,100
12,/home/teakoo/Landmark-Agnostic-FIQA/img_test/neutral_front/132_03.jpg,1350,1350,0.2616325237875241,5.0,198.12369873389704,100,0.07078064397512634,99,0.008953121968594947,96,100,100,100,100
13,/home/teakoo/Landmark-Agnostic-FIQA/img_test/neutral_front/082_03.jpg,1350,1350,0.2798245580086677,6.0,200.80836635957178,100,0.08618532778218135,100,0.02261735606137232,95,100,100,100,100
