,image paths,A,B,D,Head size QC,IED,IED QC,eye openness,eye openness QC,mouth closed,mouth closed QC,left crop QC,right crop QC,up crop QC,down crop QC,eye visible QC
34,/home/jing/FIQA_repo/datasets/neutral_front/neutral_front/027_03.jpg,1350,1350,0.5947760699525521,10.0,191.01047091717248,100,0.21919235987549165,100,0.031234752377721213,94,100,100,100,100,100
35,/home/jing/FIQA_repo/datasets/neutral_front/neutral_front/094_03.jpg,1350,1350,0.5679670385922916,17.0,225.01999911119012,100,0.30518202915954534,100,0.03130072093944054,94,100,100,100,100,100
36,/home/jing/FIQA_repo/datasets/neutral_front/neutral_front/002_03.jpg,1350,1350,0.5924800819118539,11.0,235.00851048419503,100,0.29130530774242974,100,0.03893842167379947,94,100,100,100,100,100
37,/home/jing/FIQA_repo/datasets/neutral_front/neutral_front/061_03.jpg,1350,1350,0.6786292971189007,2.0,210.11663427725088,100,0.1888337987944185,100,0.040913985694308305,93,100,100,100,100,100
38,/home/jing/FIQA_repo/datasets/neutral_front/neutral_front/005_03.jpg,1350,1350,0.6188098670654044,7.0,205.29490982486632,100,0.24659043223766905,100,0.029949954579804,94,100,100,100,100,100
39,/home/jing/FIQA_repo/datasets/neutral_front/neutral_front/140_03.jpg,1350,1350,0.5822340023311139,13.0,227.43130831088317,100,0.1946525501423415,100,0.019378165442638828,95,100,100,100,100,100
40,/home/jing/FIQA_repo/datasets/neutral_front/neutral_front/026_03.jpg,1350,1350,0.45786406953684355,92.0,202.2473732833136,100,0.3947475959919079,100,0.037350229269094586,94,100,100,100,100,100
41,/home/jing/FIQA_repo/datasets/neutral_front/neutral_front/010_03.jpg,1350,1350,0.5916033409570555,11.0,193.01036241611484,100,0.2241241443601271,100,0.028798074414988398,95,100,100,100,100,100
42,/home/jing/FIQA_repo/datasets/neutral_front/neutral_front/122_03.jpg,1350,1350,0.5560358417753485,21.0,200.0099997500125,100,0.3170592308103839,100,0.030640177767390038,94,100,100,100,100,100
43,/home/jing/FIQA_repo/datasets/neutral_front/neutral_front/123_03.jpg,1350,1350,0.4985207198234377,55.0,181.01104938649465,100,0.30014726305182327,100,0.028270748256337623,95,100,100,100,100,100
44,/home/jing/FIQA_repo/datasets/neutral_front/neutral_front/034_03.jpg,1350,1350,0.5882479624230963,12.0,202.02227599945508,100,0.2556241244779982,100,0.03905650126380542,94,100,100,100,100,100
45,/home/jing/FIQA_repo/datasets/neutral_front/neutral_front/112_03.jpg,1350,1350,0.574558935029013,15.0,214.1494805036893,100,0.28620988103881917,100,0.028392427011001156,95,100,100,100,100,100
46,/home/jing/FIQA_repo/datasets/neutral_front/neutral_front/115_03.jpg,1350,1350,0.6773777406783674,2.0,177.02542190318317,100,0.2274566535354039,100,0.024057915277783105,95,100,100,100,100,100
47,/home/jing/FIQA_repo/datasets/neutral_front/neutral_front/087_03.jpg,1350,1350,0.5765233295538787,15.0,215.52262062252305,100,0.3083618106405937,100,0.032121021941728514,94,100,100,100,100,100
48,/home/jing/FIQA_repo/datasets/neutral_front/neutral_front/107_03.jpg,1350,1350,0.5729609279573141,16.0,221.22612865572637,100,0.30769340053398975,100,0.033638417680562215,94,100,100,100,100,100
49,/home/jing/FIQA_repo/datasets/neutral_front/neutral_front/129_03.jpg,1350,1350,0.5706012038911504,16.0,225.5681715136247,100,0.29598410893136956,100,0.05104324693238058,92,100,100,100,100,100
50,/home/jing/FIQA_repo/datasets/neutral_front/neutral_front/141_03.jpg,1350,1350,0.5414941478986682,28.0,178.01123560045303,100,0.3173660371376924,100,0.031463012302443645,94,100,100,100,100,100
51,/home/jing/FIQA_repo/datasets/neutral_front/neutral_front/099_03.jpg,1350,1350,0.48775907610595126,64.0,218.0022935659164,100,0.2855082889918573,100,0.05317482964101937,92,100,100,100,100,100
52,/home/jing/FIQA_repo/datasets/neutral_front/neutral_front/173_03.jpg,1350,1350,0.47333565176502856,77.0,196.0025510038071,100,0.3333317006429535,100,0.03836491591012916,94,100,100,100,100,100
53,/home/jing/FIQA_repo/datasets/neutral_front/neutral_front/070_03.jpg,1350,1350,0.5091265820434147,47.0,197.00253805471644,100,0.21387390234439502,100,0.027796293653227572,95,100,100,100,100,100
